GenGoal_frac_Other,GenGoal_frac_Performance Variation,Outer_iter,GenGoal_frac_Low rewards,GenGoal_frac_Good goals,GenGoal_frac_High rewards,Outer_MeanRewards,Outer_Success
0.0,0.0,159,0.09666666666666666,0.02,0.8833333333333333,0.877450980392157,0.877450980392157
0.0,0.0,160,0.08666666666666667,0.023333333333333334,0.89,0.8799019607843137,0.8799019607843137
0.0,0.0,161,0.04666666666666667,0.016666666666666666,0.9366666666666666,0.8909313725490197,0.8909313725490197
0.0,0.0,162,0.056666666666666664,0.006666666666666667,0.9366666666666666,0.8872549019607843,0.8872549019607843
0.0,0.0,163,0.09333333333333334,0.013333333333333334,0.8933333333333333,0.8909313725490196,0.8909313725490196
0.0,0.0,164,0.09333333333333334,0.016666666666666666,0.89,0.8884803921568628,0.8884803921568628
0.0,0.0,165,0.06333333333333334,0.02,0.9166666666666666,0.8921568627450979,0.8921568627450979
0.0,0.0,166,0.09666666666666666,0.07666666666666666,0.8266666666666667,0.8688725490196078,0.8688725490196078
0.0,0.0,167,0.08,0.013333333333333334,0.9066666666666666,0.8970588235294118,0.8970588235294118
0.0,0.0,168,0.11,0.02,0.87,0.8958333333333333,0.8958333333333333
0.0,0.0,169,0.09,0.006666666666666667,0.9033333333333333,0.8933823529411765,0.8933823529411765
0.0,0.0,170,0.06,0.02666666666666667,0.9133333333333333,0.877450980392157,0.877450980392157
0.0,0.0,171,0.07333333333333333,0.02,0.9066666666666666,0.8848039215686275,0.8848039215686275
0.0,0.0,172,0.08,0.016666666666666666,0.9033333333333333,0.8933823529411765,0.8933823529411765
0.0,0.0,173,0.08,0.02,0.9,0.8835784313725491,0.8835784313725491
0.0,0.0,174,0.08333333333333333,0.013333333333333334,0.9033333333333333,0.8823529411764706,0.8823529411764706
0.0,0.0,175,0.09,0.02666666666666667,0.8833333333333333,0.8762254901960783,0.8762254901960783
0.0,0.0,176,0.07333333333333333,0.03333333333333333,0.8933333333333333,0.866421568627451,0.866421568627451
0.0,0.0,177,0.06666666666666667,0.02,0.9133333333333333,0.8921568627450981,0.8921568627450981
0.0,0.0,178,0.10333333333333333,0.013333333333333334,0.8833333333333333,0.8848039215686274,0.8848039215686274
0.0,0.0,179,0.08333333333333333,0.02,0.8966666666666666,0.8823529411764706,0.8823529411764706
0.0,0.0,180,0.09333333333333334,0.0033333333333333335,0.9033333333333333,0.8946078431372548,0.8946078431372548
0.0,0.0,181,0.08666666666666667,0.0033333333333333335,0.91,0.8872549019607844,0.8872549019607844
0.0,0.0,182,0.06333333333333334,0.043333333333333335,0.8933333333333333,0.8786764705882353,0.8786764705882353
0.0,0.0,183,0.08333333333333333,0.02,0.8966666666666666,0.8823529411764706,0.8823529411764706
0.0,0.0,184,0.05333333333333334,0.04,0.9066666666666666,0.8909313725490196,0.8909313725490196
0.0,0.0,185,0.07666666666666666,0.03666666666666667,0.8866666666666667,0.8860294117647058,0.8860294117647058
0.0,0.0,186,0.08666666666666667,0.06666666666666667,0.8466666666666667,0.8823529411764706,0.8823529411764706
0.0,0.0,187,0.07,0.043333333333333335,0.8866666666666667,0.8884803921568628,0.8884803921568628
